Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price
2019 Honda Accord Sport,Mileage,3.7,(3 reviews),Used,$501 price drop,"$27,995"
2015 Chevrolet Corvette Stingray Z51,"29,192 mi.",3.7,(3 reviews),Used,$277 price drop,"$52,000"
2020 Jeep Grand Cherokee Overland,"53,561 mi.",4.8,"(1,147 reviews)",Used,"$2,000 price drop","$41,998"
2019 Audi A7 3.0T Prestige,"46,664 mi.",4.9,"(1,831 reviews)",Used,"$2,090 price drop","$62,750"
2017 Ford Mustang GT Premium,"21,726 mi.",4.0,(409 reviews),Used,$200 price drop,"$29,995"
2016 Jeep Grand Cherokee Limited,"66,514 mi.",4.6,"(1,348 reviews)",Used,"$2,000 price drop","$26,499"
2018 Jeep Grand Cherokee High Altitude,"52,607 mi.",3.3,(329 reviews),Used,"$2,074 price drop","$39,944"
2016 Ford Fusion SE,"45,046 mi.",4.3,(73 reviews),Ford Certified,"$2,250 price drop","$14,756"
2021 Ford F-150 Raptor,"43,502 mi.",3.5,(193 reviews),Used,$890 price drop,"$123,500"
2019 GMC Yukon Denali,"5,386 mi.",4.7,(267 reviews),Used,"$5,000 price drop","$61,974"
2022 Kia Telluride SX,"62,129 mi.",4.8,"(1,305 reviews)",Used,$110 price drop,"$54,500"
2018 Jeep Wrangler Unlimited Sport,"10,100 mi.",4.6,(317 reviews),Jeep Certified,"$2,000 price drop","$36,277"
2015 Toyota 4Runner Limited,"68,884 mi.",4.4,(580 reviews),Used,"$3,200 price drop","$33,050"
2020 Toyota Camry SE,"57,311 mi.",5.0,(3 reviews),Used,$738 price drop,"$33,677"
2016 INFINITI Q50 3.0T Red Sport 400,"21,713 mi.",4.7,"(1,338 reviews)",Used,"$1,489 price drop","$28,900"
2017 Ford F-150 Raptor,"74,765 mi.",5.0,(1 review),Used,$340 price drop,"$56,999"
2013 Lexus GS 350 Base,"66,000 mi.",4.7,(659 reviews),Used,$670 price drop,"$16,990"
2021 Mitsubishi Mirage ES,"48,605 mi.",3.3,(239 reviews),Used,$499 price drop,"$15,165"
2022 Subaru Outback Touring,"19,844 mi.",4.6,"(2,411 reviews)",Used,$400 price drop,"$39,747"
2017 Lexus ES 350 Base,"28,271 mi.",3.7,(3 reviews),Used,$240 price drop,"$29,500"
2021 Toyota Land Cruiser Heritage Edition,"56,748 mi.",4.1,(57 reviews),Used,$500 price drop,"$97,900"
2017 BMW M3 Base,"11,194 mi.",4.7,(743 reviews),Used,$284 price drop,"$53,789"
2011 Toyota Avalon Limited,"19,847 mi.",4.6,(33 reviews),Used,"$1,896 price drop","$8,999"
2020 Ford Mustang EcoBoost Premium,"178,400 mi.",4.7,(738 reviews),Used,"$2,469 price drop","$30,223"
2019 Acura ILX Technology & A-Spec,"45,111 mi.",4.7,"(2,792 reviews)",Used,$620 price drop,"$24,995"
2019 Subaru Outback 3.6R Touring,"41,045 mi.",4.4,(39 reviews),Used,$248 price drop,"$32,900"
2018 Nissan Frontier S,"19,181 mi.",4.7,"(1,338 reviews)",Used,"$1,067 price drop","$29,997"
2020 Lamborghini Urus Base,"21,256 mi.",4.8,"(1,666 reviews)",Used,"$1,000 price drop","$280,000"
2014 Nissan Leaf SL,"6,105 mi.",3.7,(3 reviews),Used,$887 price drop,"$15,990"
2017 Nissan Rogue SV,"59,878 mi.",3.7,(3 reviews),Used,"$1,503 price drop","$24,688"
2017 Chevrolet Silverado 1500 LTZ,"48,980 mi.",4.2,(420 reviews),Used,$300 price drop,"$37,991"
2021 GMC Yukon Denali,"52,383 mi.",4.7,(768 reviews),Used,$229 price drop,"$89,888"
2021 Mitsubishi Mirage ES,"14,599 mi.",4.0,(33 reviews),Used,$860 price drop,"$15,185"
2020 Acura MDX 3.5L,"23,028 mi.",4.7,"(1,170 reviews)",Acura Certified,$700 price drop,"$39,420"
2020 Jeep Grand Cherokee Limited,"23,967 mi.",4.6,(478 reviews),Used,"$2,109 price drop","$34,750"
2015 BMW X5 M Base,"28,515 mi.",4.7,(0 reviews),Used,"$1,000 price drop","$45,950"
2019 Honda CR-V EX,"70,029 mi.",4.7,"(2,892 reviews)",Used,"$1,346 price drop","$31,074"
2020 Ford Edge Sport,"11,190 mi.",3.4,"(1,338 reviews)",Ford Certified,"$1,119 price drop","$44,500"
2017 Kia Sorento LX,953 mi.,4.8,(17 reviews),Used,$662 price drop,"$21,006"
2021 Lexus ES 350 F Sport,"61,582 mi.",5.0,"(1,210 reviews)",Used,$511 price drop,"$48,377"
2020 Kia Telluride EX,"21,040 mi.",4.4,(2 reviews),Used,"$4,360 price drop","$46,801"
2019 BMW X5 xDrive40i,Mileage,3.6,(24 reviews),BMW Certified,"$1,412 price drop","$54,488"
2022 Toyota Highlander Hybrid Platinum,"36,864 mi.",4.8,(727 reviews),Used,"$2,000 price drop","$62,000"
2019 Ford Expedition Max Platinum,379 mi.,4.9,"(1,831 reviews)",Used,"$2,508 price drop","$62,998"
2022 Tesla Model S Base,"35,661 mi.",4.5,(164 reviews),Used,"$1,045 price drop","$108,950"
2019 Land Rover Range Rover Velar P250 S,"2,343 mi.",3.7,(3 reviews),Used,$156 price drop,"$50,500"
2019 Lexus RC 300 ,"30,989 mi.",4.9,"(3,443 reviews)",Used,"$1,287 price drop","$35,998"
2021 Tesla Model Y Long Range,"37,236 mi.",4.9,"(4,176 reviews)",Used,"$4,000 price drop","$68,984"
2021 Tesla Model Y Long Range,"10,689 mi.",4.6,(871 reviews),Used,$844 price drop,"$68,995"
2021 Hyundai Elantra Limited,"11,852 mi.",4.2,(70 reviews),Used,$100 price drop,"$29,000"
2019 Honda Accord Sport,"13,655 mi.",4.7,(848 reviews),Used,$600 price drop,"$23,981"
2019 Mazda CX-9 Touring,"43,809 mi.",4.5,(8 reviews),Used,$420 price drop,"$32,199"
2020 Ford F-150 Lariat,"27,261 mi.",3.7,(3 reviews),Ford Certified,$361 price drop,"$52,151"
2013 BMW 335 i,"25,706 mi.",4.4,(107 reviews),Used,"$2,997 price drop","$19,650"
2012 Mercedes-Benz E-Class E 350,"80,570 mi.",4.7,(450 reviews),Used,"$6,000 price drop","$16,495"
2019 Honda CR-V EX-L,"49,605 mi.",4.7,(682 reviews),Used,"$1,600 price drop","$29,977"
2013 Mercedes-Benz SL-Class SL 550,"34,795 mi.",2.0,(34 reviews),Used,"$4,000 price drop","$37,426"
2018 BMW 320 i xDrive,"45,281 mi.",4.4,"(2,734 reviews)",Used,"$1,040 price drop","$23,698"
2019 Toyota Highlander LE,"65,946 mi.",4.3,(903 reviews),Used,"$1,250 price drop","$28,995"
2021 Tesla Model Y Long Range,"65,285 mi.",4.4,(175 reviews),Used,$700 price drop,"$71,999"
2015 Toyota Avalon XLE Touring,"13,060 mi.",4.7,(235 reviews),Used,$500 price drop,"$19,980"
2018 Audi S4 3.0T Premium Plus,"63,056 mi.",4.9,(630 reviews),Used,"$1,000 price drop","$41,700"
2016 Volvo XC60 T6 Premier Plus,"21,728 mi.",4.6,"(1,811 reviews)",Used,$701 price drop,"$25,990"
2017 Kia Optima EX,"58,777 mi.",4.1,(882 reviews),Used,"$6,090 price drop","$17,500"
2020 Porsche Macan S,"30,640 mi.",3.7,(54 reviews),Used,"$2,172 price drop","$67,995"
2019 Toyota 4Runner Limited,"15,742 mi.",4.9,"(3,116 reviews)",Toyota Certified,$500 price drop,"$40,887"
2021 GMC Yukon Denali,"37,805 mi.",4.8,(992 reviews),Used,$326 price drop,"$84,489"
2013 Lexus ES 350 Base,"13,407 mi.",2.8,(95 reviews),Used,"$1,255 price drop","$14,899"
2020 Mazda Mazda6 Sport,"54,767 mi.",4.5,(15 reviews),Used,"$3,700 price drop","$29,998"
2010 Lexus ES 350 Base,"35,332 mi.",4.6,(922 reviews),Used,$500 price drop,"$9,799"
2019 Honda Pilot EX-L,"95,734 mi.",4.6,(670 reviews),Used,$600 price drop,"$36,631"
2013 Mercedes-Benz S-Class S 550 4MATIC,"18,074 mi.",4.7,(660 reviews),Used,$499 price drop,"$25,777"
2020 Mercedes-Benz G-Class G 550 4MATIC,"84,647 mi.",4.9,(312 reviews),Used,$153 price drop,"$149,990"
